Rank,Country,Rate
1,Finland,54.65
2,United Kingdom,42.70
3,Slovakia,38.15
4,Albania,36.92
5,Iceland,35.59
6,Brunei,33.87
7,Netherlands,33.78
8,United States,33.26
9,Ireland,32.23
10,Sweden,30.96
11,Denmark,29.41
12,Norway,28.94
13,Canada,27.87
14,Sri Lanka,27.62
15,Kiribati,25.26
16,New Zealand,24.84
17,Bahrain,24.32
18,Mozambique,23.88
19,Switzerland,23.78
20,Viet Nam,23.72
21,Suriname,23.53
22,Qatar,22.69
23,Australia,22.63
24,Oman,22.46
25,Libya,22.36
26,Afghanistan,22.34
27,Belgium,22.30
28,Cuba,21.90
29,Djibouti,21.76
30,Ethiopia,21.74
31,Georgia,21.64
32,Spain,21.52
33,Honduras,21.32
34,Burkina Faso,20.98
35,Equ. Guinea,20.94
36,Senegal,20.92
37,Cameroon,20.71
38,Comoros,20.70
39,Eritrea,20.70
40,Gabon,20.55
41,Saudi Arabia,20.52
42,Benin,20.23
43,Congo,20.22
44,Niger,20.18
45,Angola,20.11
46,Guinea,20.04
47,Tunisia,19.92
48,Malawi,19.90
49,Gambia,19.89
50,Mali,19.88
51,Bolivia,19.86
52,DR Congo,19.83
53,Mauritania,19.76
54,Togo,19.75
55,Rwanda,19.49
56,Uruguay,19.49
57,Chad,19.49
58,Cambodia,19.45
59,Nigeria,19.45
60,Uganda,19.36
61,Thailand,19.33
62,Sierra Leone,19.29
63,Cote d Ivoire,19.27
64,France,19.19
65,Yemen,19.18
66,Iraq,19.16
67,Lebanon,19.14
68,Samoa,19.13
69,Turkey,19.07
70,Micronesia,19.00
71,Botswana,18.91
72,Zambia,18.87
73,Burundi,18.72
74,Iran,18.63
75,Zimbabwe,18.41
76,Kenya,18.35
77,Luxembourg,18.33
78,Maldives,18.30
79,Namibia,18.25
80,Morocco,18.11
81,Tanzania,18.11
82,Somalia,18.02
83,Guinea-Bissau,17.99
84,Tonga,17.97
85,Ghana,17.79
86,Sao Tome,17.73
87,Montenegro,17.71
88,Tajikistan,17.70
89,Mongolia,17.63
90,Vanuatu,17.62
91,Central Africa,17.60
92,Liberia,17.56
93,Jordan,17.53
94,Sudan,17.52
95,Hungary,17.50
96,Kuwait,17.42
97,China,17.36
98,Azerbaijan,17.36
99,Lesotho,17.24
100,Seychelles,17.22
101,Portugal,17.21
102,Syria,17.14
103,Saint Lucia,17.12
104,Myanmar,17.12
105,Bosnia/Herzeg.,17.10
106,Indonesia,17.01
107,Arab Emirates,16.96
108,Malaysia,16.95
109,Cape Verde,16.89
110,Bahamas,16.83
111,Israel,16.75
112,Bhutan,16.73
113,Swaziland,16.73
114,Guatemala,16.66
115,Belize,16.66
116,Cyprus,16.57
117,Timor-Leste,16.52
118,South Africa,16.44
119,Laos,16.42
120,South Sudan,16.37
121,Pakistan,16.30
122,North Korea,16.26
123,Peru,16.23
124,Algeria,16.08
125,Belarus,15.86
126,Dominican Rep.,15.84
127,Fiji,15.70
128,Germany,15.54
129,Malta,15.51
130,Kazakhstan,15.39
131,Kyrgyzstan,15.22
132,Haiti,15.14
133,Jamaica,15.09
134,Russia,15.07
135,Italy,14.86
136,Madagascar,14.65
137,India,14.60
138,New Guinea,14.47
139,Barbados,14.38
140,Ecuador,14.34
141,Turkmenistan,14.19
142,Bangladesh,13.89
143,Czech Republic,13.71
144,Ukraine,13.67
145,Nepal,13.60
146,Serbia,13.58
147,Austria,13.33
148,Egypt,13.14
149,Solomon Isl.,12.68
150,Trinidad/Tob.,12.27
151,Brazil,11.93
152,Chile,11.64
153,Costa Rica,11.59
154,South Korea,11.04
155,Latvia,9.94
156,Greece,9.74
157,Uzbekistan,8.36
158,Croatia,7.99
159,Japan,7.87
160,Grenada,6.91
161,Lithuania,6.73
162,Antigua/Bar.,6.13
163,Estonia,5.85
164,Slovenia,5.80
165,Romania,5.41
166,Panama,5.37
167,Argentina,4.95
168,El Salvador,4.47
169,Poland,3.73
170,Colombia,3.60
171,Guyana,3.28
172,Philippines,3.10
173,Nicaragua,3.05
174,Moldova,2.92
175,Mexico,2.70
176,Paraguay,2.56
177,Mauritius,2.41
178,Venezuela,2.18
179,No Macedonia,2.15
180,Saint Vincent,1.18
181,Armenia,0.87
182,Bulgaria,0.79
183,Singapore,0.43
