Rank,Country,Rate
1,Finland,55.32
2,Albania,47.71
3,Slovakia,47.53
4,United Kingdom,45.25
5,Iceland,38.94
6,Brunei,36.30
7,United States,36.18
8,Ireland,35.64
9,Netherlands,35.54
10,Sweden,32.24
11,Norway,31.42
12,Denmark,31.06
13,Canada,28.41
14,Kiribati,27.78
15,New Zealand,25.92
16,Viet Nam,25.63
17,Bahrain,25.49
18,Switzerland,25.31
19,Sri Lanka,25.14
20,Mozambique,24.77
21,Qatar,24.43
22,Oman,24.13
23,Djibouti,24.03
24,Libya,23.74
25,Australia,23.74
26,Ethiopia,23.48
27,Suriname,23.07
28,Eritrea,22.93
29,Belgium,22.66
30,Burkina Faso,22.65
31,Afghanistan,22.52
32,Georgia,22.50
33,Equ. Guinea,22.41
34,Comoros,22.40
35,Spain,22.24
36,Cameroon,22.02
37,Senegal,21.99
38,Honduras,21.84
39,Mali,21.71
40,Benin,21.60
41,Samoa,21.56
42,Saudi Arabia,21.53
43,Gambia,21.48
44,Cuba,21.46
45,Niger,21.45
46,Thailand,21.41
47,Nigeria,21.39
48,Gabon,21.37
49,Guinea,21.34
50,Malawi,21.30
51,Rwanda,21.19
52,Congo,21.13
53,Mauritania,21.12
54,Angola,20.95
55,Turkey,20.91
56,Togo,20.90
57,Tunisia,20.90
58,DR Congo,20.86
59,Sierra Leone,20.85
60,Chad,20.74
61,Lebanon,20.69
62,Uganda,20.66
63,Micronesia,20.54
64,Tonga,20.49
65,Cambodia,20.48
66,Maldives,20.37
67,Cote d Ivoire,20.32
68,Burundi,20.28
69,Tanzania,20.19
70,Bolivia,20.18
71,Botswana,20.07
72,Zambia,20.00
73,Kenya,19.86
74,Iraq,19.77
75,France,19.77
76,Iran,19.74
77,Yemen,19.40
78,Sao Tome,19.32
79,Namibia,19.31
80,Liberia,19.29
81,China,19.24
82,Uruguay,19.03
83,Zimbabwe,19.01
84,Myanmar,18.93
85,Seychelles,18.86
86,Somalia,18.84
87,Vanuatu,18.84
88,Timor-Leste,18.80
89,Morocco,18.65
90,Central Africa,18.65
91,Guinea-Bissau,18.63
92,Jordan,18.63
93,Indonesia,18.57
94,Malaysia,18.57
95,Luxembourg,18.51
96,Tajikistan,18.24
97,Montenegro,18.21
98,Israel,18.15
99,Lesotho,18.12
100,Bhutan,18.10
101,Laos,18.09
102,Sudan,18.03
103,Azerbaijan,17.88
104,Syria,17.82
105,Mongolia,17.79
106,South Sudan,17.76
107,Bosnia/Herzeg.,17.73
108,Cape Verde,17.72
109,Pakistan,17.45
110,Cyprus,17.45
111,South Africa,17.44
112,Peru,17.36
113,Kuwait,17.28
114,Guatemala,17.26
115,Fiji,17.25
116,Hungary,17.25
117,Ghana,17.24
118,Swaziland,17.18
119,North Korea,17.16
120,Bahamas,17.01
121,Portugal,16.94
122,Saint Lucia,16.84
123,Belize,16.77
124,Dominican Rep.,16.71
125,Malta,16.45
126,Kazakhstan,16.09
127,Arab Emirates,16.05
128,Barbados,15.96
129,Belarus,15.89
130,Madagascar,15.88
131,Jamaica,15.68
132,New Guinea,15.43
133,Kyrgyzstan,15.40
134,Russia,15.35
135,Italy,15.31
136,Turkmenistan,15.22
137,Nepal,15.06
138,India,14.98
139,Serbia,14.94
140,Haiti,14.82
141,Algeria,14.36
142,Bangladesh,14.27
143,Germany,14.27
144,Ukraine,14.18
145,Austria,13.94
146,Ecuador,13.85
147,Czech Republic,13.36
148,Solomon Isl.,13.25
149,Brazil,12.10
150,Costa Rica,11.83
151,Chile,11.61
152,South Korea,11.25
153,Greece,11.18
154,Trinidad/Tob.,11.06
155,Egypt,10.93
156,Latvia,9.44
157,Uzbekistan,8.50
158,Croatia,8.30
159,Japan,7.37
160,Grenada,7.32
161,Antigua/Bar.,6.73
162,Lithuania,6.17
163,Slovenia,5.96
164,Panama,5.94
165,Romania,5.52
166,Argentina,5.08
167,Estonia,4.86
168,Colombia,4.00
169,El Salvador,3.96
170,Poland,3.81
171,Guyana,3.53
172,Philippines,2.94
173,Nicaragua,2.93
174,Mexico,2.82
175,Paraguay,2.80
176,Venezuela,2.30
177,Mauritius,2.22
178,No Macedonia,2.13
179,Saint Vincent,1.78
180,Moldova,1.32
181,Armenia,0.94
182,Bulgaria,0.83
183,Singapore,0.35
